date,title,location,salary,company_industry,education,prior_experience,bonus,stocks,total_comp,additional_benefits,tenure_length_period,tenure_length_period_units,survey_year
2020-12-28,Machine Learning Data Scientist,"San Francisco, CA, USA",-0.04485993904643451,Large delivery/logistics app,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,1.0,years,2020
2020-12-28,Senior Data Scientist,Czechia,-0.04485993904643465,Healthcare,"Bsc data science, MSc Quantitative Finance",Unknown,-0.21502071819629978,-0.116391318359858,-0.057991770771869414,False,3.0,months,2020
2020-12-28,Data Scientist,"Midwestern United States, USA",-0.044859939046434524,high frequency trading,BS pure math + engineering. Pure math was a waste but made me look smart,a few data science internships + deep learning research,1.9040858700191705,-0.116391318359858,-0.05799177077196266,False,6.0,months,2020
2020-12-28,Data scientist,"New York, NY, USA",-0.04485993904643454,E-commerce,PhD engineering,Post doc only,-0.21502071819629978,-0.116391318359858,-0.05799177077196423,False,1.0,years,2020
2020-12-28,Senior Data Scientist,"San Francisco Bay Area, CA, USA",-0.044859939046434476,startup / internet,PhD in theoretical physics,1 year postdoc in academia,1.9040858700191705,-0.116391318359858,-0.0579917707719637,False,2.5,years,2020
2020-12-28,Data Scientist,"New York, NY, USA",-0.044859939046434524,Very early-stage startup,PhD,1 year in an adjacent field.   * **$Internship** 1 internship in an adjacent field.   * **$Coop** N/A,-0.21502071819629978,-0.116391318359858,-0.05799177077196444,False,2.0,unknown,2020
2020-12-28,Senior Data Analyst,"Washington, USA",-0.04485993904643452,Cloud SaaS,BS Economics,"3 years of analytics experience, 3 years of customer success/sales",-0.21502071819629978,-0.116391318359858,-0.057991770768288244,False,3.0,years,2020
2020-12-28,Senior Data Scientist,"Chicago, IL, USA",-0.0448599390464206,"Large, non-tech &amp; non-finance company","MS Computer Science, BS Computer Science","internship in software engineering, various positions at my university, relevant class projects that I could talk about in interviews",-0.21502071819629978,-0.116391318359858,-0.05799177077196505,False,2.5,years,2020
2020-12-28,Data Scientist,United States,-0.04485993904643456,Fintech,Masters in Analytics,"Neuro research, Salesforce db admin",-0.21502071819629978,0.004484907261383445,-0.05799177077196413,False,3.0,years,2020
2020-12-28,Data Scientist,"Seattle, WA, USA",-0.044859939046434524,Startup,BA in hard science,3 years as a DS prior to this role,-0.21502071819629978,-0.116391318359858,-0.05799177076921319,False,9.0,months,2020
2020-12-28,Senior Data Scientist,"San Francisco, CA, USA",-0.044859939046434455,Tech,PhD in Engineering,"None, first job",-0.21502071819629978,-0.116391318359858,-0.05799177077195867,False,4.5,years,2020
2020-12-28,Senior Data Scientist,"New York, NY, USA",-0.04485993904643453,Bulge Bracket Banks,Master's in Statistics and Applied Math,Previously worked in the advertising industry for 2 years,-0.21502071819629978,0.20594528329678585,-0.0579917707719643,False,1.0,years,2020
2020-12-28,Data Scientist,"Baltimore, MD, USA",-0.04485993904643459,higher education,Masters,1 year as data analyst at a marketing firm,-0.21502071819629978,0.20594528329678585,-0.057991770771965066,False,3.5,years,2020
2020-12-28,Analytics Project Manager,"Dallas, TX, USA",-0.04485993904643471,Electronic Components Distribution,Bachelors in Industrial Engineering,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,1.0,years,2020
2020-12-28,"Lead Analyst, Analytics (Individual Contributor","West Coast, USA",-0.044859939046434545,Tech,"MBA, MS Analytics","3 yrs post-MBA as a Sr Analyst, 7 yrs pre-MBA non-tech engineering roles",-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,1.0,years,2020
2020-12-28,Decision Scientist,"New York, NY, USA",-0.04485993904643456,SaaS,PhD,5 years in academia post-PhD,-0.21502071819629978,-0.116391318359858,-0.057991770771964865,False,1.0,years,2020
2020-12-28,Data Science Manager,"East Coast of the United States, USA",-0.04485993904643446,Consulting,"Masters to get the job, currently working on a Ph.D","Research full time for 1 year, part time/ volunteer while working for another 8, started doing professional consulting gig after.* **$Internship** I did a research fellowship prior to moving to industry, but no internship* **$Coop Nope",8.26140563466558,-0.116391318359858,-0.05799177076776176,False,10.0,years,2020
2020-12-28,NLP Engineer,"New York, NY, USA",-0.04485993904643455,Health (government contracting,BA in Statistics,Research + an internship during undergrad. I am basically still a recent grad,-0.21502071819629978,-0.116391318359858,-0.057991770771964754,False,2.0,months,2020
2020-12-28,Data Scientist,"New York, NY, USA",-0.04485993904643455,healthcare segment of F100,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196455,False,2.0,unknown,2020
2020-12-28,Junior) Data Scientist / Developer,Austria,-0.044859939046434656,Forecasting for external clients,MSc Data Science with some MSc AI courses sprinkled in. BA,"Approx 1 year applied research, 5 years in other industries",-0.21502071819629978,-0.116391318359858,-0.057991770771966294,False,1.0,years,2020
2020-12-28,Data Scientist (Dept leader &amp; only data scientist for SEA,Singapore,-0.044859939046434656,Credit risk,Quantitative psychology from top 11 uni of QS rank,Hr data analyst,-0.21502071819629978,-0.116391318359858,-0.05799177077196618,False,1.0,years,2020
2020-12-28,Business Analyst/Power BI Developer,"Houston, TX, USA",-0.04485993904643458,Financial Consulting,High School (Self Learned,AML Compliance Analyst,-0.21502071819629978,-0.116391318359858,-0.05799177077196517,False,7.0,years,2020
2020-12-28,Data Scientist,"Midwest City, OK, USA",-0.04485993904643455,Healthcare sales,"MS, MBA","2 years data analyst, 2 years data scientist  æ $Internship: none æ $Coop: none",-0.21502071819629978,0.2865294337109468,-0.05799177077196455,False,6.0,months,2020
2020-12-28,Data Scientist,"Texas, USA",-0.044859939046434524,Property/Casualty Insurance,PhD Physics,"PhD, 2 years as data scientist in same industry before current role, 12 week in person data science boot camp",-0.21502071819629978,-0.116391318359858,-0.057991770771963914,False,2.0,years,2020
2020-12-28,Senior Data Scientist,"East Coast of the United States, USA",-0.04485993904643471,Tech,Masters,4 years**   * **$Internship - 3 (9 months)**   * **$Coop - 1 (6 months,-0.21502071819629978,0.6894501857817517,-0.057991770771967065,False,2.0,unknown,2020
2020-12-28,Quant Trader,"Chicago, IL, USA",-0.04485993904643452,Financial Services,"Undergrad and Masters in Engineering, MS Financial Eng",Unknown,-0.21502071819629978,1.8982124419941662,-0.057991770771963186,False,1.0,years,2020
2020-12-28,Sr Credit Analyst,"Connecticut, USA",-0.04485993904643455,Large cable/communications company,BS in Business Administration,"5 years experience as a project manager, worked on a lot of automation/data related software products. Data analyst for 2 years after that",-0.21502071819629978,-0.116391318359858,-0.05799177077196453,False,2.0,unknown,2020
2020-12-28,research associate,"Midwestern United States, USA",-0.044859939046434545,Tech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,2.0,years,2020
2020-12-28,Data Manager,Switzerland,-0.044859939046434545,Tech,Bachelor of Sience,Unknown,-0.21502071819629978,-0.116391318359858,-0.0579917707719652,False,4.0,years,2020
2020-12-28,Senior Data Scientist,"Tennessee, USA",-0.044859939046434566,Financial,Masters in Mathematics,5 years as Data Scientist,-0.21502071819629978,-0.116391318359858,-0.05799177077196434,False,1.0,years,2020
2020-12-28,Softwate engineer,Lebanon,-0.04485993904643469,Digital company,Bachelor degree,worked at 2 banks and a digital company,-0.21502071819629978,-0.08415765819419362,-0.05799177077196673,False,2.0,unknown,2020
2020-12-28,"Data Scientist, Analytics","San Francisco Bay Area, CA, USA",-0.044859939046434476,faang,"bs mechanical eng, mba",data analyst at non-faang large tech company,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,1.5,years,2020
2020-12-28,Data Scientist,"New York, NY, USA",-0.044859939046434566,PE/VC,MS,"4 internships - 3 as a DS, plus research projects in the same industry. No full time experience",-0.21502071819629978,-0.116391318359858,-0.057991770771964865,False,1.0,years,2020
2020-12-28,CRM Analyst,Ireland,-0.04485993904643464,Retail - Fashion,"BSc Maths, MSc Computer Science",1 Year Experience as a Data Science Consultant for Big 4 Accounting Firm,-0.21502071819629978,-0.1159883976077872,-0.05799177077196413,False,2.0,years,2020
2020-12-28,Senior Data Analyst,"Houston, TX, USA",-0.04485993904643471,Fintech,"self taught, no college degree",I  worked previously in banking for 6 years and then became a reporting analyst at my current company,-0.21502071819629978,-0.116391318359858,-0.05799177077196567,False,8.0,years,2020
2020-12-28,Data Analyst,"San Francisco, CA, USA",-0.044859939046434545,FAANG,BS in Finance/ Minor in IT,"IT Audit at Accounting firm (1.5), Data Analyst (1",-0.21502071819629978,-0.116391318359858,-0.057991770771963914,False,1.0,months,2020
2020-12-28,Principal Data Scientist,"San Francisco Bay, California, USA",-0.04485993904643444,Software Startup,PhD,"7 years academia, 2 years product mangement",1.1977170072806804,-0.116391318359858,-0.057991770771959196,False,6.0,months,2020
2020-12-28,Staff Data Scientist,"Washington, DC, USA",-0.044859939046434545,Tech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196455,False,2.0,years,2020
2020-12-28,Modeling Analyst,"New York, NY, USA",-0.044859939046434615,Insurance,BS in Management (Info Systems and Business Analytics) from a top undergrad business school,Internship:** Summer intern in PM at the same company,-0.21502071819629978,-0.116391318359858,-0.05799177077196554,False,2.0,months,2020
2020-12-28,Senior Engineering Lead,Canada,-0.04485993904643448,Oil and Gas,Bachelors in Engineering,4 years,-0.21502071819629978,2.7040539461357755,-0.05799177077196413,False,8.0,years,2020
2020-12-28,Data Scientist,"Kansas City Metropolitan Area, USA",-0.04485993904643458,Large tech company,MS Applied Statistics,6 years Data Analyst,-0.21502071819629978,-0.116391318359858,-0.05799177077196516,False,1.5,years,2020
2020-12-28,Senior Data Engineer,"New York, NY, USA",-0.04485993904643451,Consulting,MS/MBA - Ivy League,Unknown,-0.21502071819629978,0.6894501857817517,-0.0579917707719637,False,6.0,months,2020
2020-12-28,Associate Finance Manager - Data Science,"New Jersey, USA",-0.04485993904643457,CPG/Financial Planning &amp; Analysis,MS in Data Science,"3 - 4 years in data analyst role.  Creating reports, manipulate data, some exposure to SQL in work",-0.21502071819629978,-0.116391318359858,-0.05799177077196497,False,11.0,months,2020
2020-12-28,Data Scientist Intern,"Brussels, Belgium",-0.04485993904643471,Small Pharmaceutical,Master,Summer BI Intern,-0.21502071819629978,-0.116391318359858,-0.057991770771967065,False,1.0,years,2020
2020-12-28,Data Scientist,"New York, NY, USA",-0.044859939046434545,Tech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,2.0,unknown,2020
2020-12-28,Business Intelligence Developer,"Toronto, ON, Canada",-0.044859939046434545,Tech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196497,False,10.0,years,2020
2020-12-28,Insights Consultant,"New Jersey, USA",-0.04485993904643251,Market Research,Masters,12 years,-0.21502071819629978,-0.116391318359858,-0.0579917707719637,False,2.0,years,2020
2020-12-28,Lead Data Scientist,"Chicago, IL, USA",-0.04485993904643454,Small Consultancy,"BA, MA  (Economics",2 years in related field,-0.21502071819629978,-0.116391318359858,-0.05799177077196455,False,3.0,years,2020
2020-12-28,Data Scientist,"Cambridge, MA, USA",-0.044859939046434545,Tech,BA from an LAC in math,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196455,False,6.0,months,2020
2020-12-28,Data scientist,"New York, NY, USA",-0.044859939046434545,Tech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,2.0,years,2020
2020-12-28,Senior quantitative/modeling analyst,"New York, NY, USA",-0.044859939046434524,Banking,BS in computer science,5 years at another company as a junior QA,-0.21502071819629978,-0.116391318359858,-0.057991770771963914,False,2.0,years,2020
2020-12-28,Senior Principal Data Scientist,"Upper Midwest, USA",-0.044859939046434476,Healthcare,MSc in Palaeoeconomics,6 years of AI/ML healthcare experience prior to current role,-0.21502071819629978,-0.116391318359858,-0.05799177076808201,False,2.5,years,2020
2020-12-28,Data Analyst,"Denver, CO, USA",-0.044859939046434615,Travel,Bachelors,Unknown,-0.21502071819629978,-0.116391318359858,-0.057991770771965594,False,2.0,years,2020
2020-12-28,ML Engineer,"Minsk, Minsk Region, Belarus",-0.04485993904643466,e-commerce,MS in Applied Maths,2.5y   * **$Internship**   * **$Coop,-0.21502071819629978,-0.116391318359858,-0.05799177077196638,False,1.0,years,2020
2020-12-28,Data Scientist,Germany,-0.04485993904642653,E-commerce,MSc Information System (CS Focus,3 Internships,-0.21502071819629978,-0.116391318359858,-0.05799177077196591,False,6.0,months,2020
2023-01-02,Data Scientist,"Houston, TX, USA",-0.044859939046434455,Mid-size Tech,MS in Statistics,5 yrs,2.6104547327576606,-0.1155854768557164,-0.05799177077196266,False,1.0,years,2022
2023-01-02,Data Scientist,"New York, NY, USA",-0.044859939046434545,Tech,PhD,"1 yr. internship"" $Coop",-0.21502071819629978,-0.1159883976077872,-0.057991770771965497,False,1.0,years,2022
2023-01-02,Junior DS,"New York, NY, USA",-0.044859939046434545,Tech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196591,False,2.0,months,2022
2023-01-02,Data Analyst,"Arlington County, Arlington, VA, USA",-0.044859939046434545,Public/Federal Subcontractor,Bachelor's Science Quantitative Finance,"2 years in Finance, 3.5 years in Automotive, both similar positions in scope.    * **$Internship:** NA",-0.21502071819629978,-0.116391318359858,-0.057991770771964574,False,1.5,years,2022
2023-01-02,"Engineering Manager, Data Science","New York, NY, USA",-0.044859939046434386,Healthcare,STEM PhD (Chemistry,"1 year in Data Science, 3 years in DS-relevant postdoc * **Internship**: NA * **Coop**: NA",1.1977170072806804,-0.116391318359858,-0.057991770232258925,False,1.0,years,2022
2023-01-02,Data Analyst II,"San Francisco Bay Area, CA, USA",-0.04485993904643461,Large Tech/Supply Chain,BA Economics / Currently Pursuing Master's in DS,"First job in a data capacity. I convinced the analytics team to give me a job after doing really well in an unrelated role and doing some work for them for free beforehand. I felt very lucky to move into the role despite the low salary, and then entered a Masters almost immediately. Got a raise to 80k after good performance in my first year which was technically more than my company allows (max 5%) which was validating for my imposter syndrome. Looking forward to not being so tight on money some day soon whenever I switch jobs and continuing to study and work hard in the meantime.**$Internship:** N/a**$Coop:** N/a",-0.21502071819629978,-0.116391318359858,-0.057991770771965497,False,1.0,years,2022
